employee_id,kpis_met_above_80_percent,avg_training_score
45709,0,49
66874,0,50
36904,0,51
32877,0,50
58415,0,50
71763,0,47
26107,0,53
43828,1,45
22462,0,53
63026,0,50
73279,0,50
31552,1,50
28714,1,52
18621,0,45
57587,0,50
54003,1,50
47183,1,50
72109,0,52
61602,0,50
24675,0,50
3440,1,52
15747,0,50
53147,0,50
64730,0,50
18119,0,50
39700,1,50
12230,0,50
36259,1,47
63853,0,52
50722,0,51
72585,0,54
8073,1,50
33534,1,50
36336,0,50
33956,0,47
3036,0,50
75808,1,50
67901,1,56
54240,0,47
49187,0,53
33939,1,55
47449,0,46
11430,1,50
22751,0,51
10186,0,50
42532,0,50
53652,0,46
23343,1,50
8257,0,50
40524,1,50
51124,0,51
39969,0,49
62954,0,50
55508,0,45
27412,1,50
32081,1,50
19930,0,51
3227,0,50
58211,0,45
75144,0,50
49026,0,51
67639,0,45
67897,1,50
36192,0,50
76700,1,50
20510,0,46
47137,1,47
15450,0,50
13621,0,49
48098,0,46
34773,0,52
35061,0,47
62298,0,47
4960,1,54
57634,1,48
13310,0,43
10165,0,45
39356,0,50
17728,0,50
35021,1,52
67248,0,48
65887,0,51
14325,0,50
16700,1,50
58743,0,51
49493,1,50
8592,0,50
30705,1,50
75323,1,53
58363,0,50
68687,0,54
6581,1,51
4832,0,50
66116,0,48
27455,1,52
67310,0,50
17518,0,50
30451,0,48
58127,1,47
57729,0,52
29380,0,50
61128,1,50
40282,0,50
9997,0,53
19220,1,50
59253,0,48
49530,0,50
48052,0,50
12514,1,50
69212,0,50
46133,0,50
64770,1,50
50663,0,50
23270,0,51
19403,0,48
24791,0,50
12597,1,50
50207,0,50
21618,0,50
59095,1,50
38455,1,50
10666,0,52
67890,0,50
75325,0,54
3682,0,50
15968,0,50
74902,0,50
56613,0,50
41318,1,50
45880,0,46
28237,0,50
36528,0,50
52568,1,50
15071,0,50
36267,0,50
6296,0,48
25140,1,50
33053,0,50
19243,0,50
59352,0,53
3395,0,50
19406,1,45
3207,1,50
21445,0,50
37648,1,48
39709,0,49
67859,0,50
24339,0,50
38006,1,50
19452,0,48
73270,0,55
57652,0,50
70938,0,50
36033,0,48
74597,0,53
60339,0,49
34166,0,50
22801,1,50
56304,0,48
66838,0,50
75917,0,50
29716,0,47
70121,0,49
11080,1,50
18510,0,50
61973,0,47
68341,0,54
75011,0,45
52538,1,44
36729,0,50
52844,0,50
31161,0,45
27022,1,50
4833,0,50
44800,0,50
70905,0,53
16394,0,50
8006,0,56
36019,0,50
31739,1,50
3766,0,50
18108,1,48
39205,0,45
30461,0,50
34523,0,50
6934,1,50
22408,1,51
77356,0,46
67535,0,46
32622,0,51
59361,1,50
8446,0,47
57676,0,43
43897,1,49
33175,0,50
16694,0,50
63041,1,50
4655,0,49
25363,0,50
69816,0,51
52123,0,50
20192,1,50
29219,0,49
2478,0,49
8582,0,50
38541,0,50
39527,0,50
25085,1,51
78234,0,50
65555,1,50
23835,0,50
40876,0,50
58214,0,51
17228,0,44
30220,1,51
42018,0,51
15181,1,50
72329,0,52
66374,0,52
39459,1,50
64680,0,50
60099,0,50
56403,0,50
38937,0,50
31669,1,51
5363,0,49
32289,0,46
25232,0,50
75852,0,49
24495,0,50
37024,1,50
32351,0,51
54189,0,50
33371,0,46
77260,0,50
76290,1,50
15566,0,48
37080,0,51
61526,0,50
37213,0,52
52502,0,47
47715,1,53
39073,0,46
26572,1,52
73160,1,52
22257,0,50
3046,1,50
22057,0,45
52354,0,47
64987,1,50
8850,0,50
25832,1,53
63546,0,50
51446,1,50
11186,0,48
20599,0,52
6016,0,49
46350,1,50
41091,0,50
16976,1,53
7043,0,50
63584,0,54
76829,0,48
6924,0,47
51847,0,50
63737,0,50
3462,0,50
43000,0,51
9235,0,47
61517,1,52
29676,0,50
