employee_id,department,region,education,gender,recruitment_channel,no_of_trainings,age,previous_year_rating,length_of_service,any_awards_won,is_promoted,kpis_met_above_80_percent,avg_training_score
45709,Sales & Marketing,region_31,Bachelor's,f,other,1,29,,1,0,0,0,49
66874,Sales & Marketing,region_27,Bachelor's,f,other,1,30,,1,0,0,0,50
36904,Sales & Marketing,region_15,Bachelor's,m,other,1,29,3.0,2,0,0,0,51
32877,Sales & Marketing,region_2,Bachelor's,f,other,1,40,3.0,12,0,0,0,50
58415,Sales & Marketing,region_7,Bachelor's,m,other,1,45,4.0,5,0,0,0,50
71763,Sales & Marketing,region_15,Bachelor's,f,other,1,30,1.0,6,0,0,0,47
26107,Sales & Marketing,region_26,Bachelor's,m,other,1,30,1.0,7,0,0,0,53
43828,Sales & Marketing,region_30,Bachelor's,m,other,1,29,5.0,4,0,0,1,45
22462,Sales & Marketing,region_32,Bachelor's,f,other,1,29,,1,0,0,0,53
63026,Sales & Marketing,region_26,Bachelor's,m,other,1,30,3.0,2,0,0,0,50
73279,Sales & Marketing,region_2,Bachelor's,f,other,1,34,1.0,7,0,0,0,50
31552,Sales & Marketing,region_21,Bachelor's,m,other,1,30,,1,0,0,1,50
28714,Sales & Marketing,region_3,Bachelor's,m,other,1,30,5.0,3,0,0,1,52
18621,Sales & Marketing,region_2,Bachelor's,f,other,1,29,,1,0,0,0,45
57587,Sales & Marketing,region_6,Bachelor's,f,other,1,28,1.0,2,0,0,0,50
54003,Sales & Marketing,region_6,Bachelor's,m,other,1,28,5.0,2,0,0,1,50
47183,Sales & Marketing,region_1,Bachelor's,m,other,1,26,1.0,3,0,0,1,50
72109,Sales & Marketing,region_8,Bachelor's,m,other,1,29,4.0,3,0,0,0,52
61602,Sales & Marketing,region_14,Bachelor's,m,other,1,30,1.0,3,0,0,0,50
24675,Sales & Marketing,region_24,Bachelor's,m,other,1,36,3.0,10,0,0,0,50
3440,Sales & Marketing,region_27,Bachelor's,m,other,1,29,5.0,5,0,0,1,52
15747,Sales & Marketing,region_29,Bachelor's,m,other,1,31,2.0,7,0,0,0,50
53147,Sales & Marketing,region_4,Bachelor's,m,other,1,44,4.0,12,0,0,0,50
64730,Sales & Marketing,region_29,Bachelor's,m,other,1,33,1.0,4,0,0,0,50
18119,Sales & Marketing,region_15,Bachelor's,m,other,1,42,3.0,12,0,0,0,50
39700,Sales & Marketing,region_13,Bachelor's,m,other,1,33,3.0,5,0,0,1,50
12230,Sales & Marketing,region_11,Bachelor's,m,other,1,31,3.0,8,0,0,0,50
36259,Sales & Marketing,region_29,Bachelor's,m,other,1,29,3.0,2,0,0,1,47
63853,Sales & Marketing,region_34,Bachelor's,m,other,1,29,3.0,2,0,0,0,52
