file_name,effects_overexposure_chronic,effects_overexposure_eyes,effects_overexposure_ingestion,effects_overexposure_inhalation,effects_overexposure_skin,first_aids_chronic,first_aids_eyes,first_aids_ingestion,first_aids_inhalation,first_aids_skin,health_hazards_chronic,health_hazards_eyes,health_hazards_ingestion,health_hazards_inhalation,health_hazards_skin,appearance,conditions_avoid,decomposition_products,eyes_protection,other_precautions,protective_equipment,protective_gloves,respiratory_protection,ventilation,disposal,extinguishing_media,fire_fighting,handling_storage,spill
blpwt,,,,,,, flush w/water for 15 mins.,,,,, burning irritation.,,,,CLEAR GOLD W/BANANA ODOR.,NONE,,SAFETY GLASSES/GOGGLES,NONE,NONE,RUBBER/PLASTIC,NONE,LOCAL EXHAUST/MECHANICAL (GENERAL) IF AVAILABLE.,"DISPOSE OF IAW/FEDERAL, STATE & LOCAL REGULATIONS.",CO2/DRY FOAM.,NONE,"STORE IN A COOL DRY PLACE, OUT OF DIRECT SUNLIGHT. USE IN A WELL VENTILATED AREA. USE COMMON SENSE & CARE AROUND CHEMICALS. NEVER MIX CHEMICALS.",SOAK UP W/ABSORBENT MATERIAL & PLACE IN PROPER WASTE DISPOSAL CONTAINER.
blpvp,,"eyes/skin: irritation, redness, itching, & burning sensation.",,,"skin: irritation, redness, itching, & burning sensation.",,,, remove to fresh air & restore breathing.,,,"eyes/skin: irritation, redness, itching, & burning sensation.",,,"skin: irritation, redness, itching, & burning sensation.",RED,HEAT/ELECTRICAL EQUIPMENT & TOOLS/SPARKS/OPEN FLAME/PILOT LIGHTS/HEATERS/STOVES/APPLIANCES & ALL OTHER IGNITION SOURCES.,"CO, CO2, OXIDES OF NITROGEN & HYDROGEN CYANIDE",,USE ONLY W/ADEQUATE VENTILATION. AVOID BREATHING VAPOR/SPRAY MIST. DON'T GET IN EYES OR ON SKIN. INTENTIONAL MISUSE BY DELIBERATELY CONCENTRATING & INHALING THE CONTENTS CAN BE HARMFUL OR FATAL. KEEP OUT OF REACH OF CHILDREN.,,,"USE PROPERLY FITTED NIOSH/MSHA APPROVED ORGANIC VAPOR/PARTICULATE RESPIRATOR. WHEN SANDING OR ABRADING THE DRIED FILM, WEAR A DUST MASK OR PARTICULATE RESPIRATOR.",LOCAL EXHAUST OR GENERAL EXHAUST TO KEEP AIR,"MAY BE RCRA HAZARDOUS WASTE. TEST FOR IGNITABILITY TO DETERMINE EPA HAZARDOUS WASTE NUMBERS. INCINERATE IN APPROVED FACILITY ACCORDING TO FEDERAL, STATE, & LOCAL REGULATIONS. DON'T INCINERATE CLOSED CONTAINERS. FLAMMABLE.","CO2, DRY CHEMICAL, OR FOAM","WATER SPRAY MAY BE INEFFECTIVE. IF WATER IS USED, FOG NOZZLES ARE PREFERABLE. WEAR FULL PROTECTIVE CLOTHING & SELF-CONTAINED BREATHING APPARATUS.",KEEP CONTAINER CLOSED WHEN NOT IN USE. TRANSFER ONLY TO APPROVED CONTAINERS W/COMPLETE & APPROPRIATE LABELING. DON'T TAKE INTERNALLY. DON'T SMOKE.,REMOVE ALL SOURCES OF IGNITION. VENTILATE & REMOVE W/INERT ABSORBENT.
blptx,,eyes/skin: irritation/redness/itching/burning sensation.,,,skin: irritation/redness/itching/burning sensation.,,,, remove to fresh air & restore breathing.,,,eyes/skin: irritation/redness/itching/burning sensation.,,,skin: irritation/redness/itching/burning sensation.,WHITE,HEAT/ELECTRICAL EQUIPMENT & TOOLS/SPARKS/OPEN FLAME/PILOT LIGHTS/HEATERS/STOVES/APPLIANCES & ALL OTHER IGNITION SOURCES.,"CO, & CO2",,USE ONLY W/ADEQUATE VENTILATION. AVOID BREATHING VAPOR/SPRAY MIST. DON'T GET IN EYES OR ON SKIN. INTENTIONAL MISUSE BY DELIBERATELY CONCENTRATING/INHALING THE CONTENTS CAN BE HARMFUL OR FATAL. KEEP OU T OF REACH OF CHILDREN.,,,"USE PROPERLY FITTED NIOSH/MSHA APPROVED ORGANIC VAPOR/PARTICULATE RESPIRATOR. WHEN SANDING OR ABRADING THE DRIED FILM, WEAR A DUST/MIST RESPIRATOR.",LOCAL EXHAUST OR GENERAL EXHAUST TO KEEP AIR,"MAY BE RCRA HAZARDOUS WASTE. TEST FOR IGNITABILITY TO DETERMINE EPA HAZARDOUS WASTE NUMBERS. INCINERATE IN APPROVED FACILITY ACCORDING TO FEDERAL, STATE, & LOCAL REGULATIONS. DON'T INCINERATE CLOSED CONTAINERS.","CO2, DRY CHEMICAL, OR FOAM","WATER SPRAY MAY BE INEFFECTIVE. IF WATER IS USED, FOG NOZZLES ARE PREFERABLE. WEAR FULL PROTECTIVE CLOTHING & SELF-CONTAINED BREATHING APPARATUS.",KEEP CONTAINER CLOSED WHEN NOT IN USE. TRANSFER TO APPROVED CONTAINERS W/COMPLETE & APPROPRIATE LABELING. DON'T TAKE INTERNALLY. DON'T SMOKE.,REMOVE ALL SOURCES OF IGNITION. VENTILATE & REMOVE W/INERT ABSORBENT.
blpwc,, irritation.,,,,,,,, wash w/soap & water.,, irritation.,,,,LIGHT STRAW COLORED CLEAR LIQUID.,EXCESSIVE HEAT,TOXIC MATERIALS SUCH AS CO & CO2.,SPLASH-PROOF CHEMICAL GOGGLES,NUISANCE DUST MAY BE GENERATED WHEN SANDING OR SAWING CURED MATERIAL.,PROTECTIVE CLOTHING,IMPERMEABLE,USE NIOSH APPROVED ORGANIC VAPOR CARTRIDGE RESPIRATOR WHEN VAPOR/MIST EXPOSURE IS LIKELY.,MECHANICAL (GENERAL)/LOCAL EXHAUST,"DISPOSE OF IN ACCORDANCE W/LOCAL, STATE, & FEDERAL HEALTH & ENVIRONMENTAL REGULATIONS.","CO2, DRY CHEMICAL, FOAM, WATER",USE SELF-CONTAINED BREATHING APPARATUS.,"AVOID CONTACT W/EYES, SKIN, OR CLOTHING.",REMOVE SPILLAGE BY ABSORBING IN ABSORBENT MATERIAL.
blpxl,,eyes/skin: irritation.,,,skin: irritation.,, flush w/plenty of water for at least 15 mins.,,,,,eyes/skin: irritation.,,,skin: irritation.,LIGHT GREEN,"HEAT, ELECTRICAL EQUIPMENT & OPEN FLAME",CO & CO2,SAFETY GLASSES W/UNPERFERATED SIDESHIELD,USE APPROVED BONDING & GROUNDING PROCEDURES. KEEP CONTAINER CLOSED WHEN NOT IN USE. TRANSFER ONLY TO APPROVED CONTAINERS W/COMPLETE & APPROPRIATE LABELING. DON'T TAKE INTERNALLY. KEEP OUT OF REACH OF CHILDREN.,,RECOMMENDED,USE NIOSH/MSHA APPROVED RESPRIATORY DEVICE.,LOCAL EXHAUST & GENERAL TO KEEP BELOW TLV.,"PRODUCT WASTE MAY BE HAZARDOUS UNDER RCRA. TEST FOR IGNITABILITY TO DETERMINE HAZARDOUS WASTE NUMBER. INCINERATE IN APPROVED FACILITY. DON'T INCINERATE CLOSED CONTAINER. DISPOSE IN ACCORDANCE W/LOCAL, STATE & FEDERAL REGULATIONS. COMBUSTIBLE.","CO, DRY CHEMICAL & FOAM","WATER SPRAY MAY BE INEFFECTIVE. IF WATER IS USED, FOG NOZZLES ARE PREFERABLE. WEAR FULL PROTECTIVE CLOTHING & SELF-CONTAINED BREATHING APPARATUS.",AVOID BREATHING VAPOR & SPRAY MIST. AVOID CONTACT W/SKIN & EYES. CLOSED CONTAINERS MAY EXPLODE WHEN EXPOSED TO EXTREME HEAT. COMBUSTIBLE.,ELMINATE IGNITION SOURCES. VENTILATE AREA. REMOVE W/INERT ABSORBENT.
blpyh,,eyes/skin: irritation.,,,skin: irritation.,, flush w/plenty of water for at least 15 mins.,,,,,eyes/skin: irritation.,,,skin: irritation.,LEMON YELLOW,"HEAT, ELECTRICAL EQUIPMENT & OPEN FLAME",CO & CO2,SAFETY GLASSES W/UNPERFERATED SIDESHIELD,USE APPROVED BONDING & GROUNDING PROCEDURES. KEEP CONTAINER CLOSED WHEN NOT IN USE. TRANSFER ONLY TO APPROVED CONTAINERS W/COMPLETE & APPROPRIATE LABELING. DON'T TAKE INTERNALLY. KEEP OUT OF REACH OF CHILDREN.,,RECOMMENDED,USE NIOSH/MSHA APPROVED RESPRIATORY DEVICE.,LOCAL EXHAUST & GENERAL TO KEEP BELOW TLV.,"PRODUCT WASTE MAY BE HAZARDOUS UNDER RCRA. TEST FOR IGNITABILITY TO DETERMINE HAZARDOUS WASTE NUMBER. INCINERATE IN APPROVED FACILITY. DON'T INCINERATE CLOSED CONTAINER. DISPOSE IN ACCORDANCE W/LOCAL, STATE & FEDERAL REGULATIONS. COMBUSTIBLE.","CO, DRY CHEMICAL & FOAM","WATER SPRAY MAY BE INEFFECTIVE. IF WATER IS USED, FOG NOZZLES ARE PREFERABLE. WEAR FULL PROTECTIVE CLOTHING & SELF-CONTAINED BREATHING APPARATUS.",AVOID BREATHING VAPOR & SPRAY MIST. AVOID CONTACT W/SKIN & EYES. CLOSED CONTAINERS MAY EXPLODE WHEN EXPOSED TO EXTREME HEAT. COMBUSTIBLE.,ELMINATE IGNITION SOURCES. VENTILATE AREA. REMOVE W/INERT ABSORBENT.
blpzs,, irritation.,,,,, flush w/plenty of water for at least 15 mins.,,,,, irritation.,,,,LIQUID W/ETHER LIKE ODOR,"HEAT, SPARKS & OPEN FLAMES","CO2, CO, HYDROGEN CHLORIDE & SMOKE",SAFETY GLASSES W/SIDE SHIELDS,,EYE WASH & SHOWER,RUBBER,USE NIOSH APPROVED CANISTER RESPIRATOR IN ABSENCE OF ADEQUATE VENTILATION.,GENERAL MECHANICAL/LOCAL EXHAUST TO KEEP BELOW TLV. OPEN DOORS & WINDOWS. ENCLOSED AREAS USE EXHAUST FAN.,"DISPOSE OF IN ACCORDANCE W/LOCAL, STATE, & FEDERAL REGULATIONS. TOXIC & IGNITABLE WASTE. NA 1993.","DRY CHEMICAL, CO2 & WATER OR FOAM EXTINGUISHER.",EVACUATE AREA & CALL FIRE DEPRARTMENT IMMEDIATELY.,ELIMINATE IGNITION SOURCES. STORE IN COOL DRY PLACE. EMPTY CONTAINERS WILL RETAIN RESIDUE & VAPORS. COMBUSTIBLE LIQUID.,"VENTILATE AREA. STOP LEAK, W/O RISK. ABSORB W/SAND, EARTH OR OTHER ABSORBING MATERIAL."
blpzd,,,," irritation of upper respiratory tract & mucous membranes, tightness of chest, coughing, headache, & shortness of breath.",,,,, remove to fresh air.,,,,," upper respiratory tract & mucous membrane irritation, tightness of chest, coughing, headache, & shortness of breath.",,DARK BROWN W/SLIGHT ODOR.,MOISTURE,"CO, CO2, OXIDES OF NITROGEN, TRACES OF HYDROGEN CYANIDE, & DIPHENYLMETHANE DIISOCYANATE",SAFETY GLASSES OF GOGGLES,STORE AT TEMPERATURES BETWEEN 50F & 100F. AVERAGE SHELF LIFE IN SEALED CONTAINER IS 6 MONTHS FROM DATE OF MANUFACTURING. USE W/ADEQUATE VENTILATION.,EYE WASH STATION,RUBBER LATEX/PLASTIC CHEMICAL RESISTANT,HIGH CONCENTRATIONS REQUIRE SELF-CONTAINED BREATHING APPARATUS.,LOCAL EXHAUST: AS NECESSARY. MECHANICAL (GENERAL): ADEQUATE.,"DISPOSE OF BY INCINERATION IN ACCORDANCE W/LOCAL, STATE, & FEDERAL REGULATIONS.","DRY CHEMICAL, FOAM, OR CO2",WEAR SELF-CONTAINED BREATHING APPARATUS W/FULL FACE PIECE & PROTECTIVE CLOTHING.,DON'T RESEAL CONTAINERS IF THERE IS ANY DOUBT ABOUT PRESENCE OF MOISTURE. AVOID MOISTURE CONTAMINATION. DON'T STORE DRUMS UNCOVERED OUTSIDE.,EVACUATE/VENTILATE AREA/USE PROTECTIVE EQUIPMENT. CONTAIN/COVER/ABSORB W/SAWDUST/VERMICULITE. SHOVEL INTO SUITABLE UNSEALED CONTAINER. TREAT W/NEUTRALIZING SOLUTION: 90% WATER/8% CONC. AMMONIA/2% LIQU ID DETERGENT. ALLOW TO STAND UNCOVERED FOR 48 HRS.
blpnv,,," aspiration pneumonitis may be evidenced by coughing, labored breathing & cyanosis (bluish skin), in severe cases death may occur.",,"skin), in severe cases death may occur.",, flush w/tap water for at least 15 mins.,,,,,,,," irritation, burning & tingling sensation from contact begins w/in a few hrs of exposure & may last 12 to 36 hrs.",LIGHT YELLOW CLEAR LIQUID W/A SLIGHT SOLVENT ODOR.,SPARKS & OPEN FLAME,"CHLORINE, HYDROCHLORIC ACID, CARBONYL CHLORIDE & HYDROGEN CYANIDE, CO2, CO",SAFETY GOGGLES,"WASH W/SOAP & WATER BEFORE EATING, DRINKING, SMOKING OR USING TOILET FACILITIES. ITEMS WHICH CAN'T BE ADEQUATELY CLEANED SHOULD BE DISPOSED OF. THE IS EQUIVALENT TO 233 GALLONS OF GOLD CREST TRIBUTE.","CLEAN, BODY-COVERING CLOTHING",IMPERMEABLE,MSHA/NIOSH APPROVED RESPIRATOR IS RECOMMENDED,,"THE REPORTABLE QUANTITY FOR NAPHTHALENE IS 100 LBS. DISPOSE OF ACCORDING TO LOCAL, STATE & FEDERAL REGULATIONS. COMBUSTIBLE LIQUID NA 1993. FORMULA CHANGED IN 1991. NEW FORMULA HAS HIGHER FLASH & NO O DOR.","WATER FOG, CO2, DRY CHEMICAL OR ""ALCOHOL"" FOAM",PRODUCT WILL NOT BURN UNLESS PREHEATED. USE WATER TO KEEP EXPOSED CONTAINERS COOL.,"STORE IN A COOL DRY PLACE AWAY FROM FOOD, FEED OR CLOTHING. MININIUM SKIN CONTACT. DON'T GET IN EYES, ON SKIN OR ON CLOTHING.",ABSORB SMALL SPILLS W/ABSORBENT MATERIAL SUCH AS CLAY. PUT ABSORBENT INTO CONTAINERS FOR DISPOSAL. AREA MAY BE WASHED DOWN W/WATER & HOUSEHOLD DETERGENTS. KEEP OUT OF SEWERS & WATERWAYS.
blpmm,, irritation.,,,,, flush w/plenty of water for at least 15 mins.,,,,, irritation.,,,,"THIN, LIGHT AMBER LIQUID W/SOLVENT ODOR",IGNITION SOURCES & HEAT,CO & CO2,CHEMICAL GOGGLES,,BOOTS & IMPERVIOUS CLOTHING,IMPERVIOUS SUCH AS NITRILE RUBBER,IF >TLV USE A NIOSH APPROVED AIR SUPPLIED RESPIRATOR.,LOCAL EXHAUST IS ADEQUATE,"INCINERATE LIQUID & DISPOSE OF ABSORBENT IN ACCORDANCE W/LOCAL, STATE & FEDERAL REGULATIONS.","FOAM, CO & DRY CHEMICAL",WEAR SELF-CONTAINED BREATHING APPARATUS W/FULL FACEPIECE.,"STORE IN A DRY, COOL AREA AWAY FROM HEAT & IGNITION SOURCES. KEEP CONTAINER CLOSED WHEN NOT IN USE. KEEP OUT OF REACH OF CHILDREN.","EVACUATE AREA. ELIMINATE IGNITION SOURCES. WEAR PROTECTIVE CLOTHING. ABSORB SPILL ON PAPER, VERMICULITE OR OTHER ABSORBENT MATERIAL. DIKE AREA TO PREVENT SPREADING. PUMP LIQUID TO SALVAGE DRUMS."
